feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,score
7,0.27,0.36,20.7,0.6,0.045,45,170,37,1.001,3,66,0.45,8.8,6
6.3,0.3,0.34,1.6,0.9,0.049,14,132,40,0.994,3.3,17,0.49,9.5,6
8.1,0.28,0.4,6.9,0.5,0.05,30,97,18,0.9951,3.26,85,0.44,10.1,6
7.2,0.23,0.32,8.5,0.6,0.058,47,186,18,0.9956,3.19,62,0.4,9.9,6
7.2,0.23,0.32,8.5,0.7,0.058,47,186,34,0.9956,3.19,96,0.4,9.9,6
8.1,0.28,0.4,6.9,1,0.05,30,97,31,0.9951,3.26,96,0.44,10.1,6
6.2,0.32,0.16,7,0.8,0.045,30,136,27,0.9949,3.18,86,0.47,9.6,6
7,0.27,0.36,20.7,0.95,0.045,45,170,49,1.001,3,22,0.45,8.8,6
6.3,0.3,0.34,1.6,0.5,0.049,14,132,21,0.994,3.3,59,0.49,9.5,6
8.1,0.22,0.43,1.5,0.85,0.044,28,129,29,0.9938,3.22,37,0.45,11,6
8.1,0.27,0.41,1.45,0.5,0.033,11,63,38,0.9908,2.99,93,0.56,12,5
8.6,0.23,0.4,4.2,1,0.035,17,109,45,0.9947,3.14,6,0.53,9.7,5
7.9,0.18,0.37,1.2,0.9,0.04,16,75,40,0.992,3.18,15,0.63,10.8,5
6.6,0.16,0.4,1.5,0.8,0.044,48,143,40,0.9912,3.54,11,0.52,12.4,7
8.3,0.42,0.62,19.25,0.65,0.04,41,172,37,1.0002,2.98,75,0.67,9.7,5
6.6,0.17,0.38,1.5,1,0.032,28,112,21,0.9914,3.25,6,0.55,11.4,7
6.3,0.48,0.04,1.1,0.5,0.046,30,99,19,0.9928,3.24,66,0.36,9.6,6
6.2,0.66,0.48,1.2,0.7,0.029,29,75,35,0.9892,3.33,69,0.39,12.8,8
7.4,0.34,0.42,1.1,0.6,0.033,17,171,39,0.9917,3.12,74,0.53,11.3,6
6.5,0.31,0.14,7.5,0.95,0.044,34,133,45,0.9955,3.22,17,0.5,9.5,5
6.2,0.66,0.48,1.2,0.65,0.029,29,75,39,0.9892,3.33,70,0.39,12.8,8
6.4,0.31,0.38,2.9,0.55,0.038,19,102,46,0.9912,3.17,94,0.35,11,7
6.8,0.26,0.42,1.7,0.85,0.049,41,122,26,0.993,3.47,50,0.48,10.5,8
7.6,0.67,0.14,1.5,0.95,0.074,25,168,26,0.9937,3.05,80,0.51,9.3,5
6.6,0.27,0.41,1.3,1,0.052,16,142,27,0.9951,3.42,70,0.47,10,6
7,0.25,0.32,9,0.6,0.046,56,245,50,0.9955,3.25,74,0.5,10.4,6
6.9,0.24,0.35,1,0.65,0.052,35,146,12,0.993,3.45,41,0.44,10,6
7,0.28,0.39,8.7,0.65,0.051,32,141,15,0.9961,3.38,38,0.53,10.5,6
7.4,0.27,0.48,1.1,0.7,0.047,17,132,34,0.9914,3.19,14,0.49,11.6,6
7.2,0.32,0.36,2,1,0.033,37,114,21,0.9906,3.1,65,0.71,12.3,7
8.5,0.24,0.39,10.4,0.6,0.044,20,142,13,0.9974,3.2,92,0.53,10,6
8.3,0.14,0.34,1.1,1,0.042,7,47,27,0.9934,3.47,41,0.4,10.2,6
7.4,0.25,0.36,2.05,0.85,0.05,31,100,29,0.992,3.19,60,0.44,10.8,6
6.2,0.12,0.34,1.5,0.5,0.045,43,117,28,0.9939,3.42,50,0.51,9,6
5.8,0.27,0.2,14.95,0.65,0.044,22,179,45,0.9962,3.37,92,0.37,10.2,5
7.3,0.28,0.43,1.7,0.85,0.08,21,123,20,0.9905,3.19,62,0.42,12.8,5
6.5,0.39,0.23,5.4,0.65,0.051,25,149,26,0.9934,3.24,69,0.35,10,5
7,0.33,0.32,1.2,0.7,0.053,38,138,24,0.9906,3.13,64,0.28,11.2,6
7.3,0.24,0.39,17.95,1,0.057,45,149,39,0.9999,3.21,58,0.36,8.6,5
7.3,0.24,0.39,17.95,0.75,0.057,45,149,42,0.9999,3.21,82,0.36,8.6,5
6.7,0.23,0.39,2.5,0.7,0.172,63,158,44,0.9937,3.11,0,0.36,9.4,6
6.7,0.24,0.39,2.9,0.8,0.173,63,157,25,0.9937,3.1,82,0.34,9.4,6
7,0.31,0.26,7.4,0.7,0.069,28,160,31,0.9954,3.13,70,0.46,9.8,6
6.6,0.24,0.27,1.4,0.65,0.057,33,152,44,0.9934,3.22,78,0.56,9.5,6
6.7,0.23,0.26,1.4,0.7,0.06,33,154,21,0.9934,3.24,24,0.56,9.5,6
7.4,0.18,0.31,1.4,0.55,0.058,38,167,11,0.9931,3.16,100,0.53,10,7
6.2,0.45,0.26,4.4,0.95,0.063,63,206,15,0.994,3.27,97,0.52,9.8,4
6.2,0.46,0.25,4.4,0.8,0.066,62,207,22,0.9939,3.25,78,0.52,9.8,5
7,0.31,0.26,7.4,0.9,0.069,28,160,50,0.9954,3.13,71,0.46,9.8,6
6.9,0.19,0.35,5,0.9,0.067,32,150,33,0.995,3.36,78,0.48,9.8,5
7.2,0.19,0.31,1.6,0.9,0.062,31,173,26,0.9917,3.35,78,0.44,11.7,6
6.6,0.25,0.29,1.1,0.95,0.068,39,124,25,0.9914,3.34,25,0.58,11,7
6.2,0.16,0.33,1.1,0.75,0.057,21,82,38,0.991,3.32,89,0.46,10.9,7
6.4,0.18,0.35,1,0.85,0.045,39,108,22,0.9911,3.31,74,0.35,10.9,6
6.8,0.2,0.59,0.9,0.85,0.147,38,132,35,0.993,3.05,87,0.38,9.1,6
6.9,0.25,0.35,1.3,0.8,0.039,29,191,50,0.9908,3.13,53,0.52,11,6
7.2,0.21,0.34,11.9,0.5,0.043,37,213,11,0.9962,3.09,89,0.5,9.6,6
6,0.19,0.26,12.4,0.8,0.048,50,147,36,0.9972,3.3,11,0.36,8.9,6
6.6,0.38,0.15,4.6,0.5,0.044,25,78,46,0.9931,3.11,41,0.38,10.2,6
7.4,0.2,0.36,1.2,0.95,0.038,44,111,18,0.9926,3.36,74,0.34,9.9,6
6.8,0.22,0.24,4.9,0.9,0.092,30,123,12,0.9951,3.03,14,0.46,8.6,6
6,0.19,0.26,12.4,0.8,0.048,50,147,20,0.9972,3.3,74,0.36,8.9,6
7,0.47,0.07,1.1,0.55,0.035,17,151,22,0.991,3.02,79,0.34,10.5,5
